TOKEN	NE-COARSE-LIT	NE-COARSE-METO	NE-FINE-LIT	NE-FINE-METO	NE-FINE-COMP	NE-NESTED	NEL-LIT	NEL-METO	MISC
# hipe2022:original_source = data/preparation/corpus/en/retokenized/cu31924087948174_0054.xmi
# hipe2022:license = CC-BY
# hipe2022:language = en
# hipe2022:document_type = commentary
# hipe2022:document_id = cu31924087948174_0054
# hipe2022:date = 1881-01-01
# hipe2022:dataset = ajmc
# hipe2022:applicable_columns = TOKEN NE-COARSE-LIT NE-FINE-LIT NE-NESTED NEL-LIT MISC
# ajmc:version = v0.2
# ajmc:title = Sophocles
# ajmc:publication_place = Oxford
# ajmc:publication_date = 1881
# ajmc:page = 54
# ajmc:author = Campbell, Lewis
128	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
adrés	O	_	O	_	_	O	_	_	NoSpaceAfter
]	O	_	O	_	_	O	_	_	_
Odysseus	B-pers	_	B-pers.myth	_	_	O	Q47231	_	LED0.00
is	O	_	O	_	_	O	_	_	_
warmed	O	_	O	_	_	O	_	_	_
not	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
do	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
Ajax	B-pers	_	B-pers.myth	_	_	O	Q172725	_	LED0.00
had	O	_	O	_	_	O	_	_	_
done	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
Cp	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
infr	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
773	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	O	_	O	_	_	O	_	_	EndOfSentence
Hence	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
emphatic	O	_	O	_	_	O	_	_	_
pronoun	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
129	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
μηδ᾽	O	_	O	_	_	O	_	_	_
ὄγκον	O	_	O	_	_	O	_	_	_
ἄρῃ	O	_	O	_	_	O	_	_	_
μηδέν	O	_	O	_	_	O	_	_	_
‘Nor	O	_	O	_	_	O	_	_	_
take	O	_	O	_	_	O	_	_	_
on	O	_	O	_	_	O	_	_	_
thee	O	_	O	_	_	O	_	_	_
«ἸΟῪ	O	_	O	_	_	O	_	_	_
mien	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence|NoSpaceAfter
The	O	_	O	_	_	O	_	_	_
middle	O	_	O	_	_	O	_	_	_
voice	O	_	O	_	_	O	_	_	_
(	O	_	O	_	_	O	_	_	NoSpaceAfter
see	O	_	O	_	_	O	_	_	_
above	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
1	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	I-scope	_	I-scope	_	_	O	_	_	InPrimaryReference|LED0.00
75	I-scope	_	I-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
)	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
here	O	_	O	_	_	O	_	_	_
more	O	_	O	_	_	O	_	_	_
appropriate	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Cp	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
the	O	_	O	_	_	O	_	_	_
expression	O	_	O	_	_	O	_	_	_
ὄγκον	O	_	O	_	_	O	_	_	_
περιθείναί	O	_	O	_	_	O	_	_	_
τινι	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
Plut	B-pers	_	B-pers.author	_	_	O	Q41523	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	I-pers	_	I-pers.author	_	_	O	Q41523	_	InPrimaryReference|LED0.00
Pericl	B-work	_	B-work.primlit	_	_	O	Q87208371	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	I-work	_	I-work.primlit	_	_	O	Q87208371	_	InPrimaryReference|LED0.00
4	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	O	_	O	_	_	O	_	_	EndOfSentence
130	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
χειρί	O	_	O	_	_	O	_	_	NoSpaceAfter
]	O	_	O	_	_	O	_	_	_
‘In	O	_	O	_	_	O	_	_	_
might	O	_	O	_	_	O	_	_	NoSpaceAfter
’	O	_	O	_	_	O	_	_	_
μακροῦ	O	_	O	_	_	O	_	_	_
πλούτου	O	_	O	_	_	O	_	_	_
βάθει	O	_	O	_	_	O	_	_	NoSpaceAfter
]	O	_	O	_	_	O	_	_	_
The	O	_	O	_	_	O	_	_	_
ν	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
τ	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
βάρει	O	_	O	_	_	O	_	_	_
may	O	_	O	_	_	O	_	_	_
be	O	_	O	_	_	O	_	_	_
supported	O	_	O	_	_	O	_	_	_
from	O	_	O	_	_	O	_	_	_
Eur	B-pers	_	B-pers.author	_	_	O	Q48305	_	InPrimaryReference|NoSpaceAfter|LED0.00
.	I-pers	_	I-pers.author	_	_	O	Q48305	_	InPrimaryReference|LED0.00
ΕἸ	B-work	_	B-work.primlit	_	_	O	Q540161	_	InPrimaryReference|NoSpaceAfter|LED1.00
,	I-work	_	I-work.primlit	_	_	O	Q540161	_	InPrimaryReference|LED1.00
128%	B-scope	_	B-scope	_	_	O	_	_	InPrimaryReference|NoSpaceAfter|LED0.25
,	O	_	O	_	_	O	_	_	_
δότω	O	_	O	_	_	O	_	_	_
πλούτου	O	_	O	_	_	O	_	_	_
βάρος	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
but	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
less	O	_	O	_	_	O	_	_	_
likely	O	_	O	_	_	O	_	_	_
with	O	_	O	_	_	O	_	_	_
Bpife	O	_	O	_	_	O	_	_	NoSpaceAfter
:	O	_	O	_	_	O	_	_	NoSpaceAfter
s	O	_	O	_	_	O	_	_	_
preceding	O	_	O	_	_	O	_	_	_
than	O	_	O	_	_	O	_	_	_
βάθει	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
for	O	_	O	_	_	O	_	_	_
which	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
cp	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
βαθύπλουτοΞ	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
μακρός	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
poetry	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
often	O	_	O	_	_	O	_	_	_
equivalent	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
μέγας	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
L	B-pers	_	B-pers.author	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
.	I-pers	_	I-pers.author	_	_	O	_	_	InSecondaryReference|LED0.00
and	O	_	O	_	_	O	_	_	InSecondaryReference
S	B-pers	_	B-pers.author	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.00
.	I-pers	_	I-pers.author	_	_	O	_	_	InSecondaryReference|LED0.00
5	B-scope	_	B-scope	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.10
.	I-scope	_	I-scope	_	_	O	_	_	InSecondaryReference|LED0.10
v	I-scope	_	I-scope	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.10
.	I-scope	_	I-scope	_	_	O	_	_	InSecondaryReference|LED0.10
1	I-scope	_	I-scope	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.10
.	I-scope	_	I-scope	_	_	O	_	_	InSecondaryReference|LED0.10
4	I-scope	_	I-scope	_	_	O	_	_	InSecondaryReference|NoSpaceAfter|LED0.10
.	O	_	O	_	_	O	_	_	_
Some	O	_	O	_	_	O	_	_	_
new	O	_	O	_	_	O	_	_	_
verb	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
such	O	_	O	_	_	O	_	_	_
as	O	_	O	_	_	O	_	_	_
mAnfbes	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	_
is	O	_	O	_	_	O	_	_	_
to	O	_	O	_	_	O	_	_	_
be	O	_	O	_	_	O	_	_	_
supplied	O	_	O	_	_	O	_	_	_
with	O	_	O	_	_	O	_	_	_
βάθει	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	EndOfSentence
131	O	_	O	_	_	O	_	_	NoSpaceAfter
.	O	_	O	_	_	O	_	_	_
ἡμέρα	O	_	O	_	_	O	_	_	NoSpaceAfter
]	O	_	O	_	_	O	_	_	_
“	O	_	O	_	_	O	_	_	_
Τίπιε	O	_	O	_	_	O	_	_	_
in	O	_	O	_	_	O	_	_	_
its	O	_	O	_	_	O	_	_	_
course	O	_	O	_	_	O	_	_	NoSpaceAfter
,	O	_	O	_	_	O	_	_	NoSpaceAfter
’	O	_	O	_	_	O	_	_	_
